url,label
https://www.google.com,0
https://www.sliit.lk,0
https://www.microsoft.com/en-us/security,0
https://github.com/login,0
https://www.linkedin.com,0
https://www.youtube.com,0
https://www.wikipedia.org,0
https://www.amazon.com,0
https://www.apple.com,0
https://www.netflix.com,0
http://paypal-login-security-alert.com/verify,1
http://free-gift-card-login.ru/claim,1
http://secure-bank-update-info.com/login,1
http://account-verification-paypa1.com,1
http://login-facebook-security-check.xyz,1
http://bank-update-confirm-password.com,1
http://microsoft-security-verify-login.com,1
http://appleid-login-confirm.net,1
http://amazon-billing-update-alert.com,1
http://netflix-account-suspended-login.com,1
